ATC4;description_fr;description_nl
C09BA;Inhibit. de l'enzyme de conversion de l'angiotensine (ECA) et diurétiques;Inhibitoren van het angiotensine-conversie-enzym (ACE) met diuretica
C09BB;Inhibit. de l'enz. de conversion de l'angiotensine (ECA) et antagon. du Ca;Inhibitoren v. h. angiotensine-conversie-enzym (ACE) met calciumantagonisten
C09CA;Antagonistes de l'angiotensine II, simples;Antagonisten van het angiotensine II, enkelvoudig
C09DA;Antagonistes de l'angiotensine II et diurétiques;Antagonisten van het angiotensine II met diuretica
C09XA;Inhibiteurs de la rénine;Renine-inhibitoren
C10AA;Inhibiteurs de la HMG CoA réductase;HMG CoA reductaseremmers
C10AB;Fibrates;Fibraten
C10AC;Complexants d'acides biliaires;Galzuurbinders
C10AD;Acide nicotinique et dérivés;Nicotinezuur en -derivaten
C10AX;Autres hypocholesterolemiants et réducteurs de triglycérides;Overige cholesterol- en triglycerideverlagende middelen
D01AA;Antibiotiques;Antibiotica
D01AC;Dérivés de l'imidazole;Imidazolederivaten
D01AE;Autres antimycosiques à usage local;Overige lokale antimycotica
D01BA;Antimycosiques à usage systémique;Antimycotica voor systemisch gebruik
D02AA;Préparations à base de silicone;Dimeticonproducten
D02AB;Préparations à base de zinc;Zinkproducten
D02AC;Préparations à base de vaseline et de graisse;Vaseline en vetproducten
D02AD;Emplâtres liquides;Vloeibare pleisters
D02AE;Préparations à base d'urée;Ureumproducten
D02AF;Préparations à base d'acide salicylique;Salicylzuurpreparaten
D02AX;Autres émollients et protecteurs;Overige emollientia en protectiva
D02BA;Protecteurs contre les radiations UV, à usage local;Protectiva tegen UV-straling, lokale
D02BB;Protecteurs contre les radiations UV, à usage systémique;Protectiva tegen UV-straling voor systemisch gebruik
D03AA;Pommades d'huile de foie de morue;Levertraanzalven
D11AA;Anhydrotiques;Antizweetmiddelen
D11AC;Shampooings médicinaux;Medicinale shampoos
D11AE;Androgènes à usage topique;Androgenen, lokale
D11AF;Préparations anticorps et antiverruqueuses;Wrat- en likdoornpreparaten
D11AX;Autres préparations dermatologiques;Overige dermatologica
G01AA;Antibiotiques;Antibiotica
G01AB;Composés arsenicaux;Arseenverbindingen
G01AC;Dérivés de la quinoline;Chinolinederivaten
G01AD;Acides organiques;Organische zuren
G01AE;Sulfamides;Sulfonamiden
G01AF;Dérivés de l'imidazole;Imidazolederivaten
G01AG;Dérivés triazoles;Triazolederivaten
G01AX;Autres anti-infectieux et antiseptiques;Overige anti-infectieuze middelen en antiseptica
G01BA;Antibiotiques et corticostéroïdes;Antibiotica met corticosteroïden
G01BC;Dérivés de la quinoline et corticostéroïdes;Chinolinederivaten met corticosteroïden
G01BD;Antiseptiques et corticostéroïdes;Antiseptica met corticosteroïden
G01BE;Sulfamides et corticostéroïdes;Sulfonamiden met corticosteroïden
G01BF;Dérivés de l'imidazole et corticostéroïdes;Imidazolederivaten met corticosteroïden
G02AB;Alcaloïdes de l'ergot;Moederkoren-alkaloïden
G02AC;Alcaloïdes de l'ergot associés à l'ocytocine ou ses dérivés;Moederkoren-alkaloïden met oxytocine (derivaten)
G02AD;Prostaglandines;Prostaglandines
G02AX;Autres ocytociques;Overige oxytocica
G02BA;Contraceptifs intra-uterins;Intra-uteriene anticonceptiva
G02BB;Contraceptifs intravaginaux;Intravaginale anticonceptiva
G02CA;Sympathicomimétiques, inhibiteurs du travail;Sympathicomimetica, weëenremmende
G02CB;Inhibiteurs de la prolactine;Prolactineremmers
G02CC;Agents anti-inflammatoires pour application vaginale;Anti-inflammatoire middelen voor vaginale toepassing
G02CX;Autres préparations gynécologiques;Overige gynecologische middelen
G03AA;Progestatifs et oestrogènes, associations fixes;Oestrogenen met progestagenen in vaste verhouding
G03AB;Progestatifs et oestrogènes, associations séquentielles;Oestrogenen met progestagenen, sequentiële preparaten
G03AC;Progestagènes;Progestagenen
G03BA;Dérivés du 3-oxo-androstene-4;3-oxo-androstene-4 derivaten
G03BB;Dérivés du 5-androstanone-3;5-androstanone-3 derivaten
G03CA;Oestrogènes naturels et semisynthétiques, monocomposés;Natuurlijke en semi-synthetische oestrogenen, enkelvoudig
G03CB;Oestrogènes synthétiques, monocomposés;Synthetische oestrogenen, enkelvoudig
G03CC;Oestrogènes, associations avec d'autres médicaments;Oestrogenen met andere geneesmiddelen
G03DA;Dérivés du pregnene-4;Pregnene-4 derivaten
G03DB;Dérivés du pregnadiene;Pregnadieenderivaten
G03DC;Dérivés de l'estrene;Estreenderivaten
G03EA;Androgènes et oestrogènes;Androgenen met oestrogenen
G03EB;Androgènes, oestrogènes et progestatifs;Androgenen met oestrogenen en progestagenen
G03EK;Androgènes et hormones féminines, autres associations;Androgenen met vrouwelijke geslachtshormonen en andere middelen
G03FA;Oestrogènes et progestatifs, associations fixes;Oestrogenen met progestagenen in vaste verhouding
G03FB;Oestrogènes et progestatifs, associations séquentielles;Oestrogenen met progestagenen, sequentiële preparaten
G03GA;Gonadotrophines;Gonadotrofinen
G03GB;Inducteurs de l'ovulation, synthétiques;Synthetische ovulatiestimulerende middelen
G03HA;Antiandrogènes, monocomposés;Anti-androgenen, enkelvoudig
G03HB;Antiandrogènes et oestrogènes;Anti-androgenen met oestrogenen
G03XA;Antigonadotrophines et produits similaires;Anti-gonadotrofinen en soortgelijke producten
G03XB;Antiprogestatifs;Anti-progestagenen
G03XC;Modulateurs sélectifs des récepteurs oestrogeniques;Selectieve modulatoren van de oestrogeenreceptoren
G04AA;Préparations à base de méthénamine;Methenamine preparaten
G04AB;Quinolones (sauf J01M);Chinolonen (excl. J01M)
G04AC;Dérivés du nitrofurane;Nitrofuraanderivaten
G04AD;Salicylates;Salicylaten
G04AG;Autres anti-infectieux et antiseptiques urinaires;Overige urinewegchemotherapeutica
G04AH;Sulfamides associés à d'autres médicaments;Sulfonamiden met andere middelen
G04AK;Anti-infectieux urinaires, associations sans sulfamides;Urinewegchemotherapeutica, combinaties zonder sulfonamiden
G04BA;Acidifiants urinaires;Zuurmakende middelen
G04BC;Produits contre la lithiase urinaire;Urologische lithiasismiddelen
G04BD;Spasmolytiques urinaires;Urologische spasmolytica
G04BE;Médicaments contre les troubles de l'érection;Farmaca bij erectiestoornissen
G04BX;Autres préparations urologiques;Overige urologica
G04CA;Alphabloquants;Alfa-receptorblokkerende stoffen
G04CB;Inhibiteurs de la 5-alpha-réductase;5-alfa-reductase-inhibitoren
G04CX;Hypertrophie bénigne de la prostate, autres préparations;Overige middelen bij benigne prostaathypertrofie
H01AA;Corticotrophine (ACTH);Corticotrofine (ACTH)
H01AB;Thyrotrophine;Thyrotrofine
H01AC;Somatropine et analogues;Somatropine en analogen
H01BA;Vasopressine et analogues;Vasopressine en verwante verbindingen
H01BB;Oxytocine et dérivés;Oxytocine en derivaten
H01CA;Hormones provoquant la sécrétion de gonadotrophine;Hormonen die gonadotrofine-afgifte bevorderen
H01CB;Antagoniste de l'hormone de croissance;Antigroeihormoon
H01CC;Inhibiteurs de la libération de la gonadotrophine;Middelen die de vrijstelling van gonadotropine remmen
H02AA;Minéralocorticoïdes;Mineralocorticoïden
H02AB;Glucocorticoïdes;Glucocorticoïden
D03AX;Autres cicatrisants;Overige wondhelende middelen
D03BA;Enzymes protéolytiques;Proteolytische enzymen
D04AA;Antihistaminiques à usage local;Antihistaminica, lokale
D04AB;Anesthésiques à usage local;Anesthetica, lokale
D04AX;Autres antiprurigineux;Overige antipruriginosa
D05AA;Goudrons;Teersoorten
D05AC;Dérivés anthracéniques;Antranolderivaten
D05AD;Psoralènes à usage local;Psoralenen, lokale
D05AX;Autres antipsoriasiques à usage local;Overige lokale psoriasismiddelen
D05BA;Psoralènes à usage systémique;Psoralenen voor systemisch gebruik
D05BB;Rétinoïdes pour le traitement du psoriasis;Retinoïden voor psoriasis
D05BX;Autres antipsoriasiques à usage systémique;Overige psoriasismiddelen voor systemisch gebruik
D06AA;Tétracyclines et ses dérivés;Tetracycline en derivaten
D06AX;Autres antibiotiques à usage local;Overige lokale antibiotica
D06BA;Sulfamides;Sulfonamiden
D06BB;Antiviraux;Virustatica
D06BX;Autres antimicrobiens;Overige chemische anti-microbiële middelen
D07AA;Corticostéroïdes faibles (groupe I);Zwak werkzame corticosteroïden (groep I)
D07AB;Corticostéroïdes moyennement puissants (groupe II);Matig sterk werkzame corticosteroïden (groep II)
D07AC;Corticostéroïdes puissants (groupe III);Sterk werkzame corticosteroïden (groep III)
D07AD;Corticostéroïdes très puissants (groupe IV);Zeer sterk werkzame corticosteroïden (groep IV)
D07BA;Corticostéroïdes faibles associés à des antiseptiques;Zwak werkzame corticosteroïden met antiseptica
D07BB;Corticostéroïdes moyennement puissants et antiseptiques;Matig sterk werkzame corticosteroïden met antiseptica
D07BC;Corticostéroïdes puissants et antiseptiques;Sterk werkzame corticosteroïden met antiseptica
D07BD;Corticostéroïdes très puissants et antiseptiques;Zeer sterk werkzame corticosteroïden met antiseptica
D07CA;Corticostéroïdes faibles et antibiotiques;Zwak werkzame corticosteroïden met antibiotica
D07CB;Corticostéroïdes moyennement puissants et antibiotiques;Matig sterk werkzame corticosteroïden met antibiotica
D07CC;Corticostéroïdes puissants et antibiotiques;Sterk werkzame corticosteroïden met antibiotica
D07CD;Corticostéroïdes très puissants et antibiotiques;Zeer sterk werkzame corticosteroïden met antibiotica
D07XA;Corticostéroïdes faibles, autres associations;Zwak werkzame corticosteroïden met overige middelen
D07XB;Corticostéroïdes moyennement puissants, autres associations;Matig sterk werkzame corticosteroïden met overige middelen
D07XC;Corticostéroïdes puissants, autres associations;Sterk werkzame corticosteroïden met overige middelen
D07XD;Corticostéroïdes très puissants, autres associations;Zeer sterk werkzame corticosteroïden met overige middelen
D08AA;Dérivés de l'acridine;Acridinederivaten
D08AB;Préparations à base d'aluminium;Aluminiumbevattende middelen
D08AC;Biguanides et amidines;Biguaniden en amidinen
D08AD;Préparations à base d'acide borique;Boorzuurpreparaten
D08AE;Phénol et ses dérivés;Fenol en derivaten
D08AF;Dérivés du nitrofurane;Nitrofuraanderivaten
D08AG;Préparations à base d'iode;Joodproducten
D08AH;Dérivés de la quinoline;Chinolinederivaten
D08AJ;Dérivés ammoniums quaternaires;Kwaternaire ammoniumverbindingen
D08AK;Produits mercuriels;Kwikproducten
D08AL;Dérivés de l'argent;Zilververbindingen
D08AX;Autres antiseptiques et désinfectants;Overige antiseptica en desinfectantia
D09AA;Pansements imprégnés de pommades anti-infectieuses;Verbandmiddelen geïmpregneerd met anti-microbiële zalven
D09AB;Pansements imprégnés de dérivés du zinc;Verbandmiddelen geïmpregneerd met zink
D09AX;Pansements imprégnés de vaseline;Verbandmiddelen met vaseline
D10AA;Corticostéroïdes, associations antiacnéiques;Corticosteroïden, combinatiepreparaten voor acne
D10AB;Préparations contenant du soufre;Preparaten met zwavel
D10AD;Rétinoïdes à usage topique contre l'acné;Retinoïden voor acne, lokale
D10AE;Peroxydes;Peroxiden
D10AF;Anti-infectieux contre l'acné;Antibacteriële middelen voor acne
D10AX;Autres préparations antiacnéiques à usage topique;Overige acnepreparaten voor lokaal gebruik
D10BA;Rétinoïdes systémiques contre l'acné;Retinoïden voor acne
D10BX;Autres préparations antiacnéiques à usage systémique;Overige acnepreparaten voor systemisch gebruik
A01AA;Agents pour la prophylaxie des caries;Middelen voor cariësprofylaxe
A01AC;Corticostéroïdes à usage buccal;Corticosteroïden voor orofaryngeaal gebruik
A01AD;Autres agents à usage buccal;Overige middelen voor orofaryngeaal gebruik
A02AA;Dérivés du magnésium;Magnesiumverbindingen
A02AB;Dérivés de l'aluminium;Aluminiumverbindingen
A02AC;Dérivés du calcium;Calciumverbindingen
A02AD;Associations et complexes de dérivés du Ca, Al et Mg;Combinatiepreparaten en complexen van Al-, Ca- en Mg-verbindingen
A02AF;Antiacides et antiflatulents;Antacida met flatulentiemiddelen
A02AG;Antiacides et antispasmodiques;Antacida met spasmolytica
A02AH;Antiacides et bicarbonate de sodium;Antacida met natriumbicarbonaat
A02AX;Antiacides, autres associations;Antacida, overige combinatiepreparaten
A02BD;Associations pour éradication de l'helicobacter pylori;Combinatiepreparaten voor de eradicatie van helicobacter pylori
A02DA;Antiflatulents;Flatulentiemiddelen
A02EA;Anti-régurgitants;Anti-pyrosis middelen
A03AC;Spasmolytiques synthétiques, amides avec aminé tertiaire;Synthetische spasmolytica, amiden met tertiaire aminen
A03AE;Médicaments agissant sur les récepteurs serotoninergiques;Farmaca die inwerken op de serotoninereceptoren
A03BA;Alcaloïdes de la belladone, aminés tertiaires;Belladonna alkaloïden, tertiaire aminen
A03CA;Anticholinergiques synthétiques et psycholeptiques;Synthetische parasympathicolytica met psycholeptica
A03CB;Belladone et ses dérivés et psycholeptiques;Belladonna en derivaten met psycholeptica
A03CC;Autres spasmolytiques et psycholeptiques;Overige spasmolytica met psycholeptica
A03DA;Anticholinergiques synthétiques et analgésiques;Synthetische parasympathicolytica met analgetica
A03DB;Belladone et ses dérivés et analgésiques;Belladonna en derivaten met analgetica
A03DC;Autres spasmolytiques et analgésiques;Overige spasmolytica met analgetica
A03EA;Spasmolytiques associés aux psycholeptiques et analgésiques;Spasmolytica met psycholeptica en analgetica
A03ED;Spasmolytiques associés à d'autres substances;Spasmolytica met andere middelen
A04AD;Autres antiémétiques;Overige anti-emetica
A05AB;Thérapie des voies biliaires;Galwegtherapeutica
A05AX;Autres médicaments pour la thérapie vésiculaire;Overige galtherapeutica
A05BA;Thérapie hépatique;Levertherapeutica
A06AA;Emollients;Emollientia
A06AB;Laxatifs de contact;Contactlaxantia
A06AC;Laxatifs de lest;Bulkvormende middelen
A06AG;Lavements;Klysma's
A06AX;Autres laxatifs;Overige laxantia
A07AB;Sulfamides;Sulfonamiden
A07AC;Dérivés de l'imidazole;Imidazolederivaten
A07AX;Autres anti-infectieux intestinaux;Overige anti-microbiële darmmiddelen
A07BA;Charbon;Koolpreparaten
A07BB;Bismuth;Bismutpreparaten
A07BC;Autres absorbants intestinaux;Overige adsorberende darmmiddelen
A07CA;Sels de réhydratation orale;Orale rehydratiemiddelen (ORS)
A07DA;Inhibiteur de la motricité digestive;Antipropulsiva
A07EA;Corticostéroïde à usage local;Corticosteroïden voor lokaal gebruik
A07EB;Antiallergiques, sauf les corticostéroïdes;Anti-allergische middelen, corticosteroïden uitgezonderd
A07EC;Mesalazine et similaires;Mesalazine en verwante verbindingen
A07FA;Modificateurs de la flore intestinale;Micro-organismen tegen diarree
A07XA;Autres antidiarhéiques;Overige anti-diarrhoïca
A08AA;Préparations contre l'obésité à action centrale;Centraal werkende vermageringsmiddelen
A08AB;Préparations contre l'obésité à action périphérique;Perifeer werkende vermageringsmiddelen
A09AA;Préparations enzymatiques;Enzympreparaten
A09AB;Préparations acides;Zure preparaten
A09AC;Préparations enzymatiques et acides, associations;Enzymen met zuren
A10AB;Insulines et analogues à action rapide;Snelwerkende insulines en analogen
A10AC;Insulines et analogues à action intermédiaire;Middellangwerkende insulines en analogen
A10AD;Insulines et anal. à action intermédiaire avec début d'action rapide;Middellangwerkende insulines en analogen met snel begineffect
A10AE;Insulines et analogues à action longue;Langwerkende insulines en analogen
A10BA;Biguanides;Biguaniden
A10BB;Dérivés de la sulfonylurée;Sulfonylureumderivaten
A10BC;Sulfamides hétérocycliques;Heterocyclische sulfonamiden
A10BD;Biguanides et dérivés de la sulfonylurée;Biguaniden met sulfonylureumderivaten
A10BF;Inhibiteurs de l'alpha-glucosidase;Alfa-glucosidase remmers
A10BG;Thiazolidinédiones;Thiazolidinedionen
A10BX;Autres hypoglycémiants oraux;Overige orale hypoglykemiërende middelen
A10XA;Inhibiteurs de l'aldose réductase;Aldosereductase remmende middelen
A11AA;Multivitamines et minéraux;Multivitaminen met mineralen
A11AB;Multivitamines, autres associations;Multivitaminen, overige combinatiepreparaten
A11BA;Multivitamines uniquement;Multivitaminen
A11CA;Vitamine A;Vitamine A
A11CB;Vitamine A et vitamine D;Vitamine A met vitamine D
A11CC;Vitamine D et dérivés;Vitamine D en analoge verbindingen
A11DA;Vitamine B1, simple;Vitamine B1, enkelvoudig
A11DB;Vitamine B1 et vitamine B6 et/ou B12;Vitamine B1 met vitamine B6 en/of vitamine B12
A11EA;Complexe vitaminique B, simple;Vitamine B complex, enkelvoudig
A11EB;Complexe vitaminique B et vitamine C;Vitamine B complex met vitamine C
A11EC;Complexe vitaminique B et minéraux;Vitamine B complex met mineralen
A11ED;Complexe vitaminique B et stéroïdes anabolisants;Vitamine B complex met anabole steroïden
A11EX;Complexe vitaminique B, autres associations;Vitamine B complex, overige combinatiepreparaten
A11GA;Acide ascorbique, simple;Ascorbinezuur, enkelvoudig
A11GB;Acide ascorbique, associations;Ascorbinezuur, combinatiepreparaten
A11HA;Autres vitamines monocomposées;Overige enkelvoudige vitaminepreparaten
A11JA;Associations de vitamines;Combinaties van vitaminen
A11JB;Vitamines et minéraux;Vitaminen met mineralen
A11JC;Vitamines, autres associations;Vitaminen, overige combinatiepreparaten
A12AA;Calcium;Calcium
A12AX;Calcium, associations avec autres substances;Calcium met andere middelen
A12BA;Potassium;Kalium
A12CA;Sodium;Natrium
A12CB;Zinc;Zink
A12CC;Magnésium;Magnesium
A12CD;Fluor;Fluor
A12CE;Sélénium;Seleen
A12CX;Autres minéraux;Overige mineraalproducten
A14AA;Dérivés de l'androstane;Androstaanderivaten
A14AB;Dérivés de l'estrene;Estreenderivaten
A16AA;Acides amines et dérivés;Aminozuren en derivaten
A16AB;Enzymes;Enzymen
A16AX;Divers produits pour le système gastro-intestinal et le métabolisme;Diverse middelen van het maagdarmkanaal en metabolisme
B01AA;Antagonistes de la vitamine K;Vitamine K-antagonisten
B01AB;Héparine;Heparinegroep
B01AC;Inhibiteurs de l'agrégation plaquettaire, sauf l'héparine;Trombocytenaggregatieremmers, heparine uitgezonderd
B01AD;Enzymes;Enzymen
B01AX;Autres antithrombotiques;Overige anti-thrombotica
B02AA;Acides aminés;Aminozuren
B02AB;Inhibiteurs de la protéinase;Proteinaseremmers
B02BA;Vitamine K;Vitamine K
B02BB;Fibrinogène;Fibrinogeen
B02BC;Hémostatiques locaux;Lokale hemostatica
B02BD;Facteurs de coagulation;Bloedstollingsfactoren
B02BX;Autres hémostatiques systémiques;Overige systemische hemostatica
B03AA;Préparations orales de fer II;Orale ferropreparaten II
B03AB;Préparations orales de fer III;Orale ferripreparaten III
B03AC;Préparations parentérales de fer III;Ferripreparaten, parenteraal III
B03AD;Fer associé à l'acide folique;IJzer met foliumzuur
B03AE;Fer, autres associations;IJzer met andere middelen
B03BA;Vitamine B12 (cyanocobalamine et dérivés);Vitamine B12 (cyanocobalamine en derivaten)
B03BB;Acide folique et dérivés;Foliumzuur en derivaten
R07AB;Analeptiques respiratoires;Respiratoire analeptica
R07AX;Autres préparations pour le système respiratoire;Overige middelen voor het ademhalingsstelsel
S01AA;Antibiotiques;Antibiotica
