rdrg;MP;rmdc;description_nl
111;M;03;111 VERTIGO EN ANDERE LABYRINTHSTOORNISSEN
113;M;03;113 INFECTIES BOVENSTE LUCHTWEGEN
114;M;03;114 DENTALE EN ORALE ZIEKTEN EN LETSELS
115;M;03;115 ANDERE DIAGNOSES VAN OREN, NEUS, MOND, KEEL EN SCHEDEL/AANGEZICHT
120;P;04;120 MAJEURE THORACALE EN RESPIRATOIRE PROCEDURES
121;P;04;121 ANDERE RESPIRATOIRE EN THORACALE PROCEDURES
130;M;04;130 DIAGNOSE VAN HET RESPIRATOIRE STELSEL MET KUNSTMATIGE BEADEMING 96+UUR
131;M;04;131 MUCOVISCIDOSE (CYSTIC FIBROSIS) - LONGZIEKTE
132;M;04;132 BRONCHOPULMONALE DYSPLASIE EN ANDERE CHRON. RESP. ZIEKTEN ONTSTAAN IN DE PERINATALE PERIODE
133;M;04;133 LONGOEDEEM EN RESPIRATOIRE INSUFFICIENTIE
134;M;04;134 LONGEMBOLIE
135;M;04;135 MAJEUR THORACAAL EN RESPIRATOIR TRAUMA
136;M;04;136 MALIGNE RESPIRATOIRE AANDOENING
137;M;04;137 MAJEURE RESPIRATOIRE INFECTIES EN INFLAMMATIES
138;M;04;138 BRONCHIOLITIS EN RSV PNEUMONIE
139;M;04;139 ANDERE PNEUMONIE
140;M;04;140 CHRONISCHE OBSTRUCTIEVE LONGAANDOENINGEN
141;M;04;141 ASTMA
142;M;04;142 INTERSTITIELE LONGZIEKTE
143;M;04;143 ANDERE RESPIRATOIRE DIAGNOSEN BEHALVE TEKENS, SYMPTOMEN EN MINEURE DIAGNOSEN
144;M;04;144 RESPIRATOIRE TEKENS, SYMPTOMEN EN MINEURE DIAGNOSEN
160;P;05;160 MAJEUR CARDIOTHORACAAL HERSTEL VAN HARTANOMALIE
161;P;05;161 INPLANTATIE VAN HARTDEFIBRILLATOR EN HARTASSISTENTIESYTEEM
162;P;05;162 PROCEDURES OP HARTKLEPPEN MET HARTKATHETERISATIE
163;P;05;163 PROCEDURES OP HARTKLEPPEN ZONDER HARTKATHETERISATIE
165;P;05;165 CORONAIRE OVERBRUGGING MET HARTKATHETERISATIE OF PERCUTANE HARTPROCEDURES
166;P;05;166 CORONAIRE OVERBRUGGING ZONDER HARTKATHETERISATIE OF PERCUTANE HARTPROCEDURES
167;P;05;167 ANDERE CARDIOTHORACALE PROCEDURES
169;P;05;169 MAJEURE THORACALE EN ABDOMINALE VASCULAIRE PROCEDURES
170;P;05;170 IMPLANTATIE VAN PERMANENTE PACEMAKER MET AMI, HARTDECOMPENSATIE OF SHOCK
171;P;05;171 IMPLANTEREN VAN PERMANENTE PACEMAKER ZONDER AMI, HARTDECOMPENSATIE OF SHOCK
173;P;05;173 ANDERE VASCULAIRE PROCEDURES
174;P;05;174 PERCUTANE CARDIOVASCULAIRE PROCEDURES MET ACUUT HARTINFARCT
175;P;05;175 PERCUTANE CARDIOVASCULAIRE PROCEDURES ZONDER HARTINFARCT
176;P;05;176 VERVANGEN VAN PACEMAKER OF DEFIBRILLATOR
177;P;05;177 REVISIE VAN PACEMAKER OF DEFIBRILLATOR BEHALVE TOESTEL VERVANGING
180;P;05;180 ANDERE PROCEDURES OP HET CIRCULATOIRE SYSTEEM
190;M;05;190 ACUUT MYOCARDINFARCT
191;M;05;191 HARTKATHETERISATIE MET CIRCULATOIRE STOORNISSEN BEHALVE ISCH. HARTZIEKTE
192;M;05;192 HARTKATHETERISATIE VOOR ISCHEMISCHE HARTZIEKTE
193;M;05;193 ACUTE EN SUBACUTE ENDOCARDITIS
194;M;05;194 HARTFALEN
196;M;05;196 HARTSTILSTAND
197;M;05;197 PERIFERE EN ANDERE VASCULAIRE STOORNISSEN
198;M;05;198 ANGINA PECTORIS EN CORONAIRE ATHEROSCLEROSE
199;M;05;199 HYPERTENSIE
200;M;05;200 STRUCTURELE HARTAANDOENINGEN EN KLEPLIJDEN
201;M;05;201 HARTARITMIE EN GELEIDINGSSTOORNISSEN
203;M;05;203 THORACALE PIJN
204;M;05;204 SYNCOPE EN COLLAPS
205;M;05;205 CARDIOMYOPATHIE
206;M;05;206 DYSFUNCTIE, REACTIE EN COMPL. OP CARDIAAL OF VASC. TOESTEL OF PROCEDURE
207;M;05;207 ANDERE DIAGNOSEN VAN HET CIRCULATOIR STELSEL
220;P;06;220 MAJEURE PROCEDURES OP OESOFAGUS, MAAG EN DUODENUM
221;P;06;221 MAJEURE PROCEDURES OP DUNNE EN DIKKE DARM
222;P;06;222 ANDERE PROCEDURES OP OESOFAGUS, MAAG, DUODENUM
223;P;06;223 ANDERE PROCEDURES OP DUNNE EN DIKKE DARM
224;P;06;224 PERITONEALE ADHESIOLYSE
225;P;06;225 APPENDECTOMIE
226;P;06;226 ANALE PROCEDURES
227;P;06;227 PROCEDURES VOOR HERNIA BEHALVE VOOR HERNIA INGUINALIS, FEMORALIS EN UMBILICALIS
228;P;06;228 PROCEDURES VOOR HERNIA INGUINALIS, FEMORALIS EN UMBILICALIS
229;P;06;229 ANDERE PROCEDURES OP HET SPIJSVERTERINGSSTELSEL EN ABDOMEN
240;M;06;240 MALIGNE AANDOENINGEN VAN HET SPIJSVERTERINGSSTELSEL
241;M;06;241 PEPTISCH ULCUS & GASTRITIS
242;M;06;242 MAJEURE SLOKDARMSTOORINISSEN
243;M;06;243 ANDERE SLOKDARMSTOORNISSEN
244;M;06;244 DIVERTICULITIS & DIVERTICULOSIS
245;M;06;245 INFLAMMATOIRE DARMZIEKTEN
246;M;06;246 GASTRO-INTESTINALE VASCULAIRE INSUFFICIENTIE
247;M;06;247 INTESTINALE OBSTRUCTIE
248;M;06;248 MAJEURE GASTRO-INTESTINALE EN PERITONEALE INFECTIES
249;M;06;249 NIET BACTERIELE GASTRO-ENTERITIS, MISSELIJKHEID EN BRAKEN
251;M;06;251 ABDOMINALE PIJN
252;M;06;252 DYSFUNCTIE, REACTIE OP EN COMPLIC, VAN GASTRO-INTESTINAAL TOESTEL OF PROCEDURE
253;M;06;253 ANDERE EN NIET GESPECIFICEERDE GASTRO-INTESTINALE HEMORRAGIE
254;M;06;254 ANDERE DIAGNOSEN VAN SPIJSVERTERINGSSTELSEL
260;P;07;260 MAJEURE PANCREAS-, LEVER- EN SHUNTPROCEDURES
261;P;07;261 MAJEURE PROCEDURES OP DE GALWEGEN
262;P;07;262 CHOLECYSTECTOMIE, BEHALVE LAPAROSCOPISCH
263;P;07;263 LAPAROSCOPISCHE CHOLECYSTECTOMIE
264;P;07;264 ANDERE PROCEDURES OP HEPATOBILIAIR STELSEL EN PANCREAS, ABDOMINAAL
279;M;07;279 HEPATISCH COMA EN ANDERE MAJEURE ACUTE LEVERSTOORNISSEN
280;M;07;280 ALCOHOLISCHE LEVERZIEKTE
281;M;07;281 MALIGNE AANDOENINGEN VAN HET HEPATOBILIAIR STELSEL EN DE PANCREAS
282;M;07;282 STOORNISSEN VAN DE PANCREAS BEHALVE MALIGNE AANDOENINGEN
283;M;07;283 ANDERE LEVERSTOORNISSEN
284;M;07;284 STOORNISSEN VAN DE GALBLAAS EN DE GALWEGEN
301;P;08;301 VERVANGING VAN HEUPGEWRICHT
302;P;08;302 KNIEGEWRICHT VERVANGING
303;P;08;303 DORSO & LUMBALE ARTHRODESE BIJ WERVELKOLOMAFWIJKINGEN
304;P;08;304 DORSO & LUMBALE ARTHRODESE BEHALVE BIJ WERVELKOLOMAFWIJKINGEN
305;P;08;305 AMPUTATIE VAN ONDERSTE LIDMAAT BEHALVE TENEN
308;P;08;308 PROCEDURES OP HEUP EN FEMUR VOOR TRAUMA BEHALVE GEWRICHTSVERVANGING
309;P;08;309 PROCEDURES OP HEUP EN FEMUR ZONDER TRAUMA BEHALVE GEWRICHTSVERVANGING
310;P;08;310 EXCISIE EN DECOMPRESSIE VAN DISCUS INTERVERTEBRALIS
312;P;08;312 HUIDGREFFE BEHALVE DE HAND, VOOR MUSCULO-SKELETAAL EN BINDWEEFSEL DIAGNOSEN
313;P;08;313 PROCEDURES OP DE KNIE EN HET ONDERBEEN, BEHALVE OP DE VOET
314;P;08;314 PROCEDURES OP VOET EN TENEN
315;P;08;315 PROCEDURES OP SCHOUDER, ARM EN VOORARM
316;P;08;316 PROCEDURES OP HAND & POLS
317;P;08;317 PROCEDURES OP PEES, SPIER EN ANDERE WEKE WEEFSELS
320;P;08;320 ANDERE PROCEDURES OP MUSCULO-SKELETAALSTELSEL EN BINDWEEFSEL
321;P;08;321 CERVICALE ARTRODESE EN ANDERE PROCEDURES OP NEK/RUG, BEHALVE EXC./DECOMPR. DISC. INTERV.
340;M;08;340 FEMURFRACTUREN
341;M;08;341 FRACTUREN VAN HET BEKKEN OF LUXATIE VAN DE HEUP
342;M;08;342 FRACTUREN OF LUXATIE, BEHALVE FEMUR, HEUP EN BEKKEN
343;M;08;343 MALIGNE AANDOENINGEN VAN HET MUSCULOSKELETAAL STELSEL EN PATHOLOGISCHE FRACTUREN HIERDOOR.
344;M;08;344 OSTEOMYELITIS, SEPTISCHE ARTHRITIS EN ANDERE MUSCULO-SKELETALE INFECTIES
346;M;08;346 STOORNISSEN VAN HET BINDWEEFSEL
347;M;08;347 ANDERE STOORNISSEN, BREUKEN EN LETSELS VAN DE RUG EN VAN DE NEK
349;M;08;349 DYSFUNCTIE, BIJWERKING EN COMPLICATIES VAN ORTHOPEDISCH TOESTEL OF PROCEDURE
351;M;08;351 ANDERE DIAGNOSEN VAN HET MUSCULO-SKELETAAL STELSEL EN BINDWEEFSEL
361;P;09;361 HUIDGREFFE VOOR HUID EN SUBCUTAAN WEEFSEL DIAGNOSEN
362;P;09;362 MASTECTOMIE PROCEDURES
363;P;09;363 PROCEDURES OP DE BORST, BEHALVE MASTECTOMIE
364;P;09;364 ANDERE PROCEDURES OP HUID, SUBCUTAAN WEEFSEL EN GERELATEERDE PROCEDURES
380;M;09;380 HUIDULCERA
381;M;09;381 MAJEURE AANDOENINGEN VAN DE HUID
382;M;09;382 MALIGNE AANDOENINGEN VAN DE MAMMA
383;M;09;383 CELLULITIS EN ANDERE BACTERIELE HUIDINFECTIES
384;M;09;384 CONTUSIE, OPEN WONDE EN ANDERE TRAUMA VAN DE HUID EN VAN HET SUBCUTAAN WEEFSEL
385;M;09;385 ANDERE AANDOENINGEN VAN DE HUID, HET SUBCUTAAN WEEFSEL EN DE MAMMA
401;P;10;401 PROCEDURES OP BIJNIEREN EN HYPOFYSE
403;P;10;403 PROCEDURES VOOR OBESITAS
404;P;10;404 PROCEDURES OP SCHILDKLIER, BIJSCHILDKLIEREN EN DUCTUS THYREOGLOSSUS
405;P;10;405 ANDERE PROCEDURES BIJ ENDOCRIENE, NUTRITIONELE EN METABOLE STOORNISSEN
420;M;10;420 DIABETES
421;M;10;421 MALNUTRITIE, "FAILURE TO THRIVE" EN ANDERE NUTRITIONELE STOORNISSEN
422;M;10;422 HYPOVOLEMIE EN GERELATEERDE ELECTROLYTENSTOORNISSEN
423;M;10;423 CONGENITALE AFWIJKINGEN VAN HET METABOLISME
424;M;10;424 ANDERE ENDOCRIENE STOORNISSEN
425;M;10;425 ANDERE ELEKTROLYTENSTOORNISSEN BEHALVE IN VERBAND MET HYPOVOLEMIE
440;P;11;440 NIERTRANSPLANTATIE
441;P;11;441 MAJEURE PROCEDURES OP DE BLAAS
442;P;11;442 PROCEDURES OP NIER EN URINEWEGEN VOOR MALIGNE AANDOENING
443;P;11;443 PROCEDURES OP NIER EN URINEWEGEN VOOR NIET MALIGNE AANDOENING
444;P;11;444 PROCEDURE ENKEL VOOR HET AANLEGGEN VAN EEN DIALYSE TOEGANGSWEG TOESTEL
445;P;11;445 ANDERE PROCEDURES OP DE BLAAS
446;P;11;446 TRANSURETHRALE EN URETHRALE PROCEDURES
447;P;11;447 ANDERE PROCEDURES OP NIEREN, URINEWEGEN EN GERELATEERDE PROCEDURES
460;M;11;460 NIERINSUFFICIENTIE
461;M;11;461 MALIGNE AANDOENING VAN DE NIER EN URINEWEGEN
462;M;11;462 NEFRITIS EN NEFROSE
463;M;11;463 INFECTIES VAN DE NIER EN DE URINEWEGEN
465;M;11;465 URINAIRE STENEN EN VERWORVEN BOVENSTE URINEWEGOBSTRUCTIE
466;M;11;466 DYSFUNCTIE, REACTIE OP & COMPL. VAN GENITO-URINAIR TOESTEL OF PROCEDURE
468;M;11;468 ANDERE NIER EN URINEWEGEN DIAGNOSEN, TEKENS EN SYMPTOMEN
480;P;12;480 MAJEURE PROCEDURES IN HET KLEINE BEKKEN BIJ DE MAN
481;P;12;481 PROCEDURES OP DE PENIS
482;P;12;482 TRANSURETHRALE PROSTATECTOMIE
483;P;12;483 PROCEDURES OP DE TESTES EN HET SCROTUM
484;P;12;484 ANDERE PROCEDURES OP HET MANNELIJK VOORTPLANTINGSSTELSEL EN GERELATEERDE PROCEDURES
500;M;12;500 MALIGNE AANDOENING VAN HET MANNELIJK VOORTPLANTINGSSTELSEL
501;M;12;501 DIAGNOSEN VAN HET MANNELIJK VOORTPLANTINGSSTELSEL BEHALVE MALIGNE AANDOENINGEN
510;P;13;510 EVISCERATIE VAN HET KLEINE BEKKEN, RADICALE HYSTERECTOMIE EN ANDERE RADICALE GYNECO. PROCEDURES
511;P;13;511 PROCEDURES OP UTERUS/ADNEXEN VOOR MALIGNE AANDOENING VAN OVARIA EN ADNEXEN
512;P;13;512 PROCEDURES OP UTERUS/ADNEXEN VOOR MALIGNE AANDOENING BEHALVE OVARIA EN ADNEXEN
513;P;13;513 PROCEDURES OP UTERUS/ADNEXEN VOOR NIET-MALIGNE AANDOENING BEHALVE LEIOMYOMA
514;P;13;514 RECONSTRUCTIEVE PROCEDURES OP HET VROUWELIJKE VOORTPLANTINGSSTELSEL
517;P;13;517 DILATATIE EN CURETTAGE VOOR NIET-VERLOSKUNDIGE DIAGNOSES
518;P;13;518 ANDERE PROCEDURES OP HET VROUWELIJKE VOORTPLANTINGSSTELSEL EN GERELATEERDE PROCEDURES
519;P;13;519 PROCEDURES OP UTERUS/ADNEXEN VOOR LEIOMYOMA
530;M;13;530 MALIGNE AANDOENING VAN HET VROUWELIJKE VOORTPLANTINGSSTELSEL
531;M;13;531 INFECTIES VAN HET VROUWELIJKE VOORTPLANTINGSSTELSEL
532;M;13;532 MENSTRUATIESTOORNISSEN EN ANDERE STOORNISSEN VAN HET VROUWELIJKE VOORTPLANTINGSSTELSEL
540;P;14;540 BEVALLING MET SECTIO CAESAREA
541;P;14;541 VAGINALE BEVALLING MET STERILISATIE EN/OF DILATATIE EN CURETTAGE
542;P;14;542 VAGINALE BEVALLING MET GECOMPL. PROCEDURES BEHALVE STERILISATIE EN/OF DILATATIE EN CURETTAGE
544;P;14;544 DILATATIE EN CURETTAGE, ASPIRATIE CURETTAGE OF HYSTEROTOMIE VOOR VERLOSKUNDIGE DIAGNOSEN
545;P;14;545 PROCEDURE VOOR ECTOPISCHE ZWANGERSCHAP
546;P;14;546 ANDERE O.R. PROCEDURES VOOR VERLOSKUNDIGE DIAGNOSES BEHALVE BEVALLING
560;M;14;560 VAGINALE BEVALLING
561;M;14;561 DIAGNOSEN IN HET POSTPARTUM EN POST ABORTUS, ZONDER INGREPEN
563;M;14;563 DREIGENDE ABORTUS
564;M;14;564 ABORTUS, ZONDER DILATATIE EN CURETTAGE, ASPIRATIE CURETTAGE OF HYSTEROTOMIE
565;M;14;565 VALSE ARBEID
566;M;14;566 ANDERE DIAGNOSEN IN HET ANTEPARTUM
580;M;15;580 PASGEBORENE, GETRANSFEREERD BINNEN 5 DAGEN, ELDERS GEBOREN
581;M;15;581 PASGEBORENE, GETRANSFEREERD BINNEN 5 DAGEN, HIER GEBOREN
583;P;15;583 PASGEBORENE, MET ECMO
588;P;15;588 PASGEBORENE, GEBOORTEGEWICHT < 1500 GR, MET MAJEURE PROCEDURE
589;M;15;589 PASGEBORENE, GEBOORTEGEWICHT < 500 GR OF ZWANGERSCHAPSDUUR < 24 WEKEN
591;M;15;591 PASGEBORENE, GEBOORTEGEWICHT 500-749G GR ZONDER MAJEURE PROCEDURE
593;M;15;593 PASGEBORENE, GEBOORTEGEWICHT 750 - 999 GR ZONDER MAJEURE PROCEDURE
602;M;15;602 PASGEB, GEBOORTEGEW 1000-1249 GR MET RESPI DISTRESS SYNDR/ANDERE MAJ RESPI ANOM OF MAJ ANOM
603;M;15;603 PASGEBORENE, GEBOORTEGEWICHT 1000-1249 GR MET OF ZONDER ANDERE SIGNIFICANTE AANDOENING
607;M;15;607 PASGEBOR., GEB-GEW. 1250-1499 GR MET RESP. DIST. SYND./ANDERE MAJ. RESP. OF MAJ. ANOMALIE
608;M;15;608 PASGEBORENE, GEBOORTEGEWICHT 1250-1499 GR MET OF ZONDER ANDERE SIGNIFICANTE AANDOENING
609;P;15;609 PASGEBORENE, GEBOORTEGEWICHT 1500-2499 GR MET MAJEURE PROCEDURE
611;M;15;611 PASGEBORENE, GEBOORTEGEWICHT 1500-1999 GR MET MAJEURE ANOMALIE
612;M;15;612 PASGEBORENE, GEBOORTEGEWICHT 1500-1999GR MET RESP. DISTRESS SYND./ ANDERE MAJ. RESP. AANDOENING
613;M;15;613 PASGEBORENE, GEBOORTGEWICHT 1500-1999GR MET CONGENITALE OF PERINATALE INFECTIES
614;M;15;614 ANDERE PASGEBORENE, GEBOORTEGEWICHT : 1500 - 1999GR MET OF ZONDER ANDERE SIGNIFICANTE AANDOENING
621;M;15;621 PASGEBORENE, GEBOORTGEWICHT 2000-2499 GR MET MAJEURE ANOMALIE
622;M;15;622 PASGEBORENE, GEBOORTEGEWICHT 2000-2499GR MET RESP. DISTRESS SYND./ ANDERE MAJ. RESP. AANDOENING
623;M;15;623 PASGEBORENE, GEBOORTEGEWICHT 2000-2499 GR MET CONGENITALE OF PERINATALE INFECTIES
625;M;15;625 PASGEBORENE, GEBOORTEGEWICHT 2000-2499 GR, HIER GEBOREN, MET ANDERE SIGNIFICANTE AANDOENING
626;M;15;626 PASGEBORENE, GEBOORTEGEWICHT 2000-2499 GR, NORMALE PASGEBORENE OF PASGEBORENE MET ANDER PROBLEEM
630;P;15;630 PASGEBORENE, GEBOORTEGEWICHT > 2499 GR MET MAJEURE CARDIOVASCULAIRE PROCEDURES
631;P;15;631 PASGEBORENE, GEBOORTEGEWICHT > 2499 GR MET ANDERE MAJEURE PROCEDURE
633;M;15;633 PASGEBORENE, GEBOORTEGEWICHT > 2499 GR MET MAJEURE ANOMALIE
634;M;15;634 PASGEBORENE, GEBOORTEGEWICHT > 2499GR MET RESP. DISTRESS SYNDROOM/ ANDERE MAJ RESP. AANDOENING
636;M;15;636 PASGEBORENE, GEBOORTEGEWICHT > 2499 GR MET CONGENITALE OF PERINATALE INFECTIES
639;M;15;639 PASGEBORENE, GEBOORTEGEWICHT > 2499 GR HIER GEBOREN, MET ANDERE SIGNIFICANTE AANDOENING
640;M;15;640 PASGEBORENE, GEBOORTEGEWICHT > 2499 GR NORMALE PASGEBORENE OF MET ANDERE PROBLEMEN
650;P;16;650 SPLENECTOMIE
651;P;16;651 ANDERE PROCEDURES OP BLOED EN BLOEDVORMENDE ORGANEN
660;M;16;660 MAJEURE HEMATO/IMMUNOLOGISCHE DIAGNOSEN BEHALVE CRISIS VAN SIKKELCELANEMIE EN COAGULATIE
661;M;16;661 BLOEDSTOLLINGSSTOORNISSEN EN BLOEDPLAATJES
662;M;16;662 CRISIS VAN SIKKELCELANEMIE
663;M;16;663 ANDERE ANEMIA EN BLOEDSTOORNISSEN EN HEMATOPOIETISCHE ORGANEN
680;P;17;680 MAJEURE OPERATIEZAAL PROCEDURES VOOR LYMFATISCHE/HEMATOPOIETISCHE/ANDERE NEOPLASMA
681;P;17;681 ANDERE OPERATIEZAAL PROCEDURES VOOR LYMFATISCH/HEMATOPOIETISCH/ANDERE NEOPLASMA
690;M;17;690 ACUTE LEUKEMIE
691;M;17;691 LYMFOOM, MYELOOM EN NIET-ACUTE LEUKEMIE
692;M;17;692 RADIOTHERAPIE
693;M;17;693 CHEMOTHERAPIE
694;M;17;694 LYMPHATISCH EN ANDERE MALIGNE AANDOENINGEN EN NEOPLASMATA MET ONZEKER GEDRAG
710;P;18;710 INFECTIEUZE EN PARASITAIRE ZIEKTEN, HIV MET OPERATIEZAAL PROCEDURES INBEGREPEN
711;P;18;711 OSTOPERATIEVE, POSTTRAUMATISCHE EN ANDERE TOESTEL- INFECTIES MET OPERATIEZAAL PROCEDURES
720;M;18;720 SEPTICEMIE EN GEDISSIMINEERDE INFECTIES
721;M;18;721 POSTOPERATIEVE, POSTTRAUMATISCHE EN ANDERE TOESTEL INFECTIES
722;M;18;722 KOORTS
723;M;18;723 VIRALE ZIEKTE
724;M;18;724 ANDERE INFECTIEUZE EN PARASITAIRE ZIEKTEN
740;P;19;740 DIAGNOSEN VAN MENTALE ZIEKTEN MET OPERATIEZAAL PROCEDURES
750;M;19;750 SCHIZOFRENIE
751;M;19;751 MAJEURE DEPRESSIEVE STOORNISSEN EN ANDERE/NIET-GESPECIFICEERDE PSYCHOSES
752;M;19;752 PERSOONLIJKHEIDSSTOOR-NISSEN EN IMPULSCONTROLESTOORNISSEN
753;M;19;753 BIPOLAIRE STOORNISSEN
754;M;19;754 DEPRESSIE, BEHALVE MAJEURE DEPRESSIEVE DIAGNOSES
755;M;19;755 AANPASSINGSTOORNIS EN NEUROSES, BEHALVE DEPRESSIEVE DIAGNOSEN
756;M;19;756 ACUTE ANGST EN DELIRANTE TOESTANDEN
757;M;19;757 ORGANISCHE STOORNISSEN VAN DE GEESTELIJKE GEZONDHEID
758;M;19;758 GEDRAGSSTOORNISSEN VAN DE KINDERTIJD
759;M;19;759 EETSTOORNISSEN
760;M;19;760 ANDERE STOORNISSEN VAN DE MENTALE GEZONDHEID
770;M;20;770 ALCOHOL EN DRUGS- MISBRUIK OF VERSLAVING, ONTSLAG TEGEN MEDISCH ADVIES
772;M;20;772 ALCOHOL EN DRUGS- VERSLAVING MET REVALIDATIETHERAPIE OF REVALIDATIE/DETOXIFICATIETHERAPIE
773;M;20;773 MISBRUIK & VERSLAVING AAN OPIATEN
774;M;20;774 MISBRUIK & VERSLAVING AAN COCAINE
775;M;20;775 MISBRUIK & VERSLAVING AAN ALCOHOL
776;M;20;776 MISBRUIK & VERSLAVING AAN ANDERE DRUGS
791;P;21;791 OPERATIEZAAL PROCEDURES VOOR ANDERE COMPLICATIES VAN DE BEHANDELING
811;M;21;811 ALLERGISCHE REACTIES
812;M;21;812 VERGIFTIGING DOOR GENEESMIDDELLEN
813;M;21;813 ANDERE COMPLICATIES VAN DE BEHANDELING
815;M;21;815 ANDERE DIAGNOSEN VAN LETSELS, VERGIFTIGINGEN EN TOXISCHE EFFECTEN
816;M;21;816 TOXISCHE EFFECTEN VAN NIET-MEDISCHE SUBSTANTIES
841;P;22;841 EXTENSIEVE DERDE GRAAD BRANDWONDEN MET HUIDGREFFE
842;P;22;842 "FULL THICKNESS" BRANDWONDEN MET HUIDGREFFE
843;M;22;843 EXTENSIEVE DERDE GRAAD OF "FULL THICKNESS" BRANDWONDEN ZONDER HUIDGREFFE
844;M;22;844 'PARTIAL THICKNESS' BRANDWONDEN MET OF ZONDER HUIDGREFFE
850;P;23;850 PROCEDURES MET DIAGNOSEN VAN REVALID., NAZORG OF ANDERE CONTACTEN MET GEZONDHEIDSINSTELLINGEN
860;M;23;860 REVALIDATIE
861;M;23;861 TEKENS, SYMPTOMEN EN ANDERE FACTOREN MET INVLOED OP DE GEZONDHEIDSTOESTAND
862;M;23;862 ANDERE NAZORG EN CONVALESCENTIE
863;M;23;863 NEONATALE NAZORG
890;M;24;890 HIV MET MULTIPELE MAJEURE HIV GERELATEERDE AANDOENINGEN
892;M;24;892 HIV MET MAJEURE HIV GERELATEERDE AANDOENINGEN
893;M;24;893 HIV MET MULTIPELE SIGNIFICANTE HIV GERELATEERDE AANDOENINGEN
894;M;24;894 HIV MET EEN SIGNIFICANTE HIV AANDOENING OF ZONDER SIGNIFICANTE GERELATEERDE AANDOENINGEN
