ATC4;description_fr;description_nl
C03DB;Autres diurétiques d'épargne potassique;Overige kaliumsparende middelen                                                 
C03EA;Diurétique du tube distal et d'épargne potassique;Low-ceiling diuretica met kaliumsparende middelen                               
C03EB;Diurétiques de l'anse et d'épargne potassique;High-ceiling diuretica met kaliumsparende middelen                              
C04AD;Dérivés des purines;Purinederivaten                                                                 
C04AE;Alcaloïdes de l'ergot;Moederkoren-alkaloïden                                                          
C04AX;Autres vasodilatateurs périphéques;Overige perifere vasodilatantia                                                 
C05AX;Autres préparations antihémorroïdales topiques;Overige lokale hemorroïden-preparaten                                           
C05CA;Bioflavonoïdes;Bioflavonoïden                                                                  
C05CX;Autres agents stabilisants des capillaires;Overige capillairstabiliserende middelen                                        
C07AA;Bêtabloquants non sélectifs;Beta-receptorblokkerende middelen, niet-selectieve                              
C07AB;Bêtabloquants sélectifs;Beta-receptorblokkerende middelen, selectieve                                   
C07AG;Alpha- et bêtabloquants;Alfa- en beta-receptorblokkerende middelen                                      
C07BA;Bêtabloquants non sélectifs et thiazides;Niet-selectieve beta-receptorblokkerende middelen met thiaziden                 
C07BB;Bêtabloquants sélectifs et thiazides;Selectieve beta-receptorblokkerende middelen met thiaziden                      
C07CA;Bêtabloquants non sélectifs et autres diurétiques;Niet-selectieve beta-receptorblokkerende middelen met overige diuretica         
C07CB;Bêta-bloquants sélectifs et autres diurétiques;Selectieve beta-receptorblokkerende middelen met overige diuretica
C07DB;Bêtabloquants sélectifs et thiazides et autres diurétiques;Selectieve beta-blokkerende midd. met thiaziden en overige diuretica            
C07FB;Bêtabloquants sélectifs et autres antihypertenseurs;Selectieve beta-blokkerende middelen met overige antihypertensiva               
C08CA;Dérivés de la dihydropyridine;Dihydropyridinederivaten                                                        
C08DA;Dérivés de la phénylalkylamine;Fenylalkylaminederivaten                                                        
C08DB;Dérivés de la benzothiazépine;Benzothiazepinederivaten                                                        
C08EA;Dérivés de la phénylalkylamine;Fenylalkylaminederivaten                                                        
C09AA;Inhibiteurs de l'enzyme de conversion de l'angiotensine (ECA), simples;Inhibitoren van het angiotensine-conversie-enzym (ACE), enkelvoudig             
C09BA;Inhibit. de l'enzyme de conversion de l'angiotensine (ECA) et diurétiques;Inhibitoren van het angiotensine-conversie-enzym (ACE) met diuretica            
C09CA;Antagonistes de l'angiotensine II, simples;Antagonisten van het angiotensine II, enkelvoudig                               
C09DA;Antagonistes de l'angiotensine II et diurétiques;Antagonisten van het angiotensine II met diuretica                              
C10AA;Inhibiteurs de la HMG CoA réductase;HMG CoA reductaseremmers                                                        
C10AB;Fibrates;Fibraten                                                                        
C10AC;Complexants d'acides biliaires;Galzuurbinders                                                                  
C10AD;Acide nicotinique et dérivés;Nicotinezuur en -derivaten                                                      
C10AX;Autres hypocholesterolemiants et réducteurs de triglycérides;Overige cholesterol- en triglycerideverlagende middelen                         
D01AA;Antibiotiques;Antibiotica                                                                     
D01AC;Dérivés de l'imidazole;Imidazolederivaten                                                              
D01BA;Antimycosiques à usage systémique;Antimycotica voor systemisch gebruik                                            
D03AX;Autres cicatrisants;Overige wondhelende middelen                                                    
D05AC;Dérivés anthracéniques;Antranolderivaten                                                               
D05AX;Autres antipsoriasiques à usage local;Overige lokale psoriasismiddelen                                                
D05BA;Psoralènes à usage systémique;Psoralenen voor systemisch gebruik                                              
D05BB;Rétinoïdes pour le traitement du psoriasis;Retinoïden voor psoriasis                                                       
D06AX;Autres antibiotiques à usage local;Overige lokale antibiotica                                                      
D06BA;Sulfamides;Sulfonamiden                                                                    
D06BB;Antiviraux;Virustatica                                                                     
D07AA;Corticostéroïdes faibles (groupe I);Zwak werkzame corticosteroïden (groep I)                                        
D07AB;Corticostéroïdes moyennement puissants (groupe II);Matig sterk werkzame corticosteroïden (groep II)                                
D07AC;Corticostéroïdes puissants (groupe III);Sterk werkzame corticosteroïden (groep III)                                     
D07AD;Corticostéroïdes très puissants (groupe IV);Zeer sterk werkzame corticosteroïden (groep IV)                                 
D07CA;Corticostéroïdes faibles et antibiotiques;Zwak werkzame corticosteroïden met antibiotica                                  
D08AF;Dérivés du nitrofurane;Nitrofuraanderivaten                                                            
D10BA;Rétinoïdes systémiques contre l'acné;Retinoïden voor acne                                                            
D11AX;Autres préparations dermatologiques;Overige dermatologica                                                           
G01AA;Antibiotiques;Antibiotica                                                                     
G01AF;Dérivés de l'imidazole;Imidazolederivaten                                                              
G01AG;Dérivés triazoles;Triazolederivaten                                                               
G02AB;Alcaloïdes de l'ergot;Moederkoren-alkaloïden                                                          
G02AD;Prostaglandines;Prostaglandines                                                                 
G02CA;Sympathicomimétiques, inhibiteurs du travail;Sympathicomimetica, weëenremmende                                               
G02CB;Inhibiteurs de la prolactine;Prolactineremmers                                                               
G02CX;Autres préparations gynécologiques;Overige gynecologische middelen                                                 
G03AA;Progestatifs et oestrogènes, associations fixes;Oestrogenen met progestagenen in vaste verhouding                               
G03AB;Progestatifs et oestrogènes, associations séquentielles;Oestrogenen met progestagenen, sequentiële preparaten                           
G03AC;Progestagènes;Progestagenen                                                                   
G03BA;Dérivés du 3-oxo-androstene-4;3-oxo-androstene-4 derivaten                                                    
G03BB;Dérivés du 5-androstanone-3;5-androstanone-3 derivaten                                                      
G03CA;Oestrogènes naturels et semisynthétiques, monocomposés;Natuurlijke en semi-synthetische oestrogenen, enkelvoudig                       
G03DA;Dérivés du pregnene-4;Pregnene-4 derivaten                                                            
G03DB;Dérivés du pregnadiene;Pregnadieenderivaten                                                            
G03DC;Dérivés de l'estrene;Estreenderivaten                                                                
G03FB;Oestrogènes et progestatifs, associations séquentielles;Oestrogenen met progestagenen, sequentiële preparaten                           
G03GA;Gonadotrophines;Gonadotrofinen                                                                  
G03GB;Inducteurs de l'ovulation, synthétiques;Synthetische ovulatiestimulerende middelen                                      
G03HA;Antiandrogènes, monocomposés;Anti-androgenen, enkelvoudig                                                    
G03HB;Antiandrogènes et estrogènes;Anti-androgenen met oestrogenen
G03XA;Antigonadotrophines et produits similaires;Anti-gonadotrofinen en soortgelijke producten                                   
G03XC;Modulateurs sélectifs des récepteurs oestrogeniques;Selectieve modulatoren van de oestrogeenreceptoren                              
G04AC;Dérivés du nitrofurane;Nitrofuraanderivaten
G04BD;Spasmolytiques urinaires;Urologische spasmolytica                                                        
G04BX;Autres préparations urologiques;Overige urologica                                                               
G04CA;Alphabloquants;Alfa-receptorblokkerende stoffen                                                
H01AA;Corticotrophine (ACTH);Corticotrofine (ACTH)                                                           
H01AC;Somatropine et agonistes de la somatropine;Somatropine en somatropineagonisten                                                   
H01AX;Hormones de l'hypophyse antérieure et analogues, autres préparations;Hypofysevoorkwab hormonen en analogen, overige middelen
H01BA;Vasopressine et analogues;Vasopressine en verwante verbindingen                                           
H01BB;Oxytocine et dérivés;Oxytocine en derivaten                                                          
H01CA;Hormones provoquant la sécrétion de gonadotrophine;Hormonen die gonadotrofine-afgifte bevorderen                                   
H01CB;Antagoniste de l'hormone de croissance;Antigroeihormoon                                                                
H02AB;Glucocorticoïdes;Glucocorticoïden                                                                
H03AA;Hormones thyroïdiennes;Schildklierhormonen                                                             
H03BA;Dérivés du thiouracile;Thiouracilderivaten                                                             
H03BB;Dérivés imidazoles soufres;Zwavelbevattende imidazolederivaten                                             
H04AA;Hormones glycogenolytiques;Glycogenolytische hormonen                                                      
H05AA;Hormones parathyroides;Bijschildklierhormonen
H05BA;Calcitonine;Calcitonine                                                                     
J01AA;Tétracyclines;Tetracyclines                                                                   
J01BA;Amphénicoles;Amfenicolen                                                                     
J01CA;Pénicillines à large spectre;Penicillines met breed spectrum                                                 
J01CE;Pénicillines sensibles aux bêtalactamases;Betalactamase-gevoelige penicillines                                            
N07BB;Médicaments traitant la dépendance à l'alcool;Middelen voor de behandeling van alcoholafhankelijkheid
N07BC;Médicaments traitant la dépendance aux opiacés;Middelen bij opiaatafhankelijkheid
N07CA;Préparations antivertigineuses;Antivertigo preparaten                                                          
N07XX;Autres médicaments du système nerveux central;Overige middelen voor het centraal zenuwstelsel                                 
P01AB;Dérivés du nitroimidazole;Nitroimidazolederivaten                                                         
P01BA;Aminoquinolines;Aminochinolines                                                                 
P01CX;Autres agents contre la léismaniose et la trypanosomiase;Overige leishmaniasis- en trypanosomiasismiddelen                               
P02CA;Dérivés du benzimidazole;Benzimidazolederivaten                                                          
R01AC;Antiallergiques, sauf les corticostéroïdes;Anti-allergische middelen, excl. corticosteroïden                               
R01AD;Corticostéroïdes;Corticosteroïden                                                                
R03AC;Bêta-2 sympathicomimétiques sélectifs;Selectieve beta-2-sympathicomimetica                                            
R03AK;Sympathicomimétiques et autres antiasthmatiques;Sympathicomimetica met andere astmamiddelen                                     
R03BA;Glucocorticoïdes;Glucocorticoïden                                                                
R03BB;Anticholinergiques;Parasympathicolytica                                                            
R03BC;Antiallergiques, sauf les corticostéroïdes;Anti-allergische middelen, excl. corticosteroïden                               
R03CC;Bêta-2 sympathicomimétiques sélectifs;Selectieve beta-2-sympathicomimetica                                            
R03DA;Xanthines;Xanthinederivaten                                                               
R03DC;Antagonistes des récepteurs des leukotrienes;Leukotrieenreceptorantagonisten                                                 
R05CB;Mucolytiques;Mucolytica                                                                      
R05DA;Alcaloïdes de l'opium et dérivés;Opiumalkaloïden en derivaten                                                    
R06AB;Alkylamines substituées;Gesubstitueerde alkylaminen                                                     
R06AD;Dérivés des phénothiazines;Fenothiazinederivaten                                                           
R06AE;Dérivés de la pipérazine;Piperazinederivaten                                                             
R06AX;Autres antihistaminiques à usage systémique;Overige antihistaminica voor systemisch gebruik                                 
R07AA;Surfactants pulmonaires;Longsurfactants                                                                 
R07AB;Analeptiques respiratoires;Respiratoire analeptica                                                         
S01AA;Antibiotiques;Antibiotica                                                                     
S01AB;Sulfamides;Sulfonamiden                                                                    
S01AD;Antiviraux;Antivirale middelen                                                             
S01AX;Autres anti-infectieux;Overige anti-microbiële middelen                                                
S01BA;Corticostéroïdes, monocomposés;Corticosteroïden, enkelvoudige                                                  
S01BC;Anti-inflammatoires non stéroïdiens;Niet-steroïdale anti-inflammatoire middelen                                     
S01CA;Associations de corticostéroïdes et d'anti-infectieux;Corticosteroïden met anti-microbiële middelen                                   
S01CC;Associations d'anti-inflammatoires non stéroïd. et d'anti-infectieux;Niet-steroïde anti-inflammatoire middelen met anti-microbiële middelen          
S01EA;Sympathicomimétiques utilisés contre le glaucome;Sympathicomimetica voor glaucoom                                                
S01EB;Parasympathicomimétiques;Parasympathicomimetica                                                          
S01EC;Inhibiteurs de l'anhydrase carbonique;Koolzuuranhydraseremmers                                                        
S01ED;Bêtabloquants;Beta-receptorblokkerende stoffen                                                
S01EE;Analogues de la prostaglandine;Prostaglandineanalogen
S01EX;Autres préparations contre le glaucome;Overige glaucoommiddelen                                                        
S01FB;Sympathicomimétiques, sauf préparations contre le glaucome;Sympathicomimetica excl. glaucoommiddelen                                       
S01KA;Substances viscoélastiques;Visco-elastische stoffen                                                        
S01LA;Antinéovascularisation agents;Antineovascularisation agents
S01XA;Autres produits à usage ophtalmique;Overige middelen voor oogheelkundig gebruik                                     
S02CA;Corticostéroïdes associés à des anti-infectieux;Corticosteroïden met anti-microbiële middelen                                   
S03AA;Anti-infectieux;Anti-microbiële middelen                                                        
S03BA;Corticostéroïdes;Corticosteroïden                                                                
S03CA;Corticostéroïdes associés à des anti-infectieux;Corticosteroïden met anti-microbiële middelen                                   
V01AA;Extraits d'allergènes;Allergeenextracten                                                              
V03AB;Antidotes;Antidota                                                                        
V03AC;Chelateurs du fer;IJzerchelerende middelen                                                        
V03AE;Produits pour le traitement de l'hyperkaliémie;Middelen bij hyperkaliëmie                                                      
V03AF;Produits detoxifiants lors de traitements antinéoplasiques;Beschermende middelen voor anti-neoplastische behandeling                       
V03AK;Adhésifs tissulaires;Weefsellijmen                                                                   
V03AN;Gaz médicinaux;Medicinale gassen                                                               
V04CD;Test pour la fonction hypophysaire;Diagnostica voor hypofysefunctie                                                
V04CJ;Tests pour la fonction thyroïdienne;Diagnostica voor schildklierfunctie                                             
V04CM;Tests pour les troubles de la fertilité;Diagnostica voor vruchtbaarheidsstoornissen                                     
V06CA;Aliments sans phénylalanine;Voedingsstoffen zonder fenylalanine                                             
V06DE;Acides aminés et hydrates de carbone, minéraux et vitamines;Aminozuren met koolhydraten, mineralen en vitaminen
V07AB;Solvants et diluants, solutions d'irrigation incluses;Oplos- en verdunningsmiddelen, inclusief irrigatievloeistoffen                  
V08AA;Produits de contraste solubles, néphrotropes et de haute osmolarité;Wateroplosb., nefrotropische, rontgencontr.midd. met hoge osmolariteit          
V08AB;Produits de contraste solubles, néphrotropes, de faible osmolarité;Wateroplosb., nefrotropische, rontgencontr.midd. met lage osmolariteit          
V08AC;Produits de contraste solubles, hépatotropes;Wateroplosbare, hepatotropische rontgencontrastmiddelen                         
V08AD;Produits de contraste insolubles dans l'eau;Niet wateroplosbare rontgencontrastmiddelen                                     
V08CA;Produits de contraste paramagnétiques;Paramagnetische contrastmiddelen                                                
V08CB;Produits de contraste superparamagnétiques;Superparamagnetische contrastmiddelen                                           
V08DA;Produits de contraste pour ultrasons;Contrastmiddelen voor ultrason
Z01ZZ;Non exploitable;Niet exploiteerbaar                                                             
J01CF;Pénicillines résistantes aux bêtalactamases;Betalactamase-resistente penicillines                                           
J01CR;Associations de pénicillines, inhib. de la bêtalactamase inclus;Combinatiepreparaten van penicillines, incl. betalactamase-remmers              
J01DA;Céphalosporines et apparentés;Cefalosporines en verwante verbindingen
J01DB;Céphalosporines de la première génération;Cefalosporines van de eerste generatie
J01DC;Céphalosporines de la deuxième génération;Cefalosporines van de tweede generatie
J01DD;Céphalosporines de la troisième génération;Cefalosporines van de derde generatie
J01DE;Céphalosporines de la quatrième génération;Cefalosporines van de vierde generatie
J01DF;Monobactâmes;Monobactam-antibiotica                                                          
J01DH;Carbapenèmes;Carbapenem-antibiotica                                                          
J01EA;Trimethoprim et dérivés;Trimethoprim en afgeleiden                                                      
J01ED;Sulfamides à action longue;Langwerkende sulfonamiden                                                       
J01EE;Associations de sulfamides et de trimethoprim, dérivés inclus;Sulfonamiden met trimethoprim incl. afgeleiden                                  
J01FA;Macrolides;Macroliden                                                                      
J01FF;Lincosanides;Lincosamiden                                                                    
J01GB;Autres aminoglycosides;Overige aminoglycosiden                                                         
J01MA;Fluoroquinolones;Fluorochinolonen                                                                
J01MB;Autres quinolones (sauf G04AB);Overige chinolonen (excl. G04AB)                                                
J01XA;Glycopeptides;Glycopeptiden                                                                   
J01XB;Polymyxines;Polymyxines                                                                     
J01XC;Stéroïdes antibactériens;Steroïde anti-bacteriële middelen                                               
J01XD;Dérivés de l'imidazole;Imidazolederivaten                                                              
J01XE;Dérivés du nitrofurane;Nitrofuraanderivaten
J01XX;Autres antibactériens;Overige anti-bacteriële middelen                                                
J02AA;Antibiotiques;Antibiotica                                                                     
J02AB;Dérivés de l'imidazole;Imidazolederivaten                                                              
J02AC;Dérivés triazoles;Triazolederivaten                                                               
J02AX;Autres antimycosiques à usage systémique;Overige antimycotica voor systemisch gebruik                                    
J04AB;Antibiotiques;Antibiotica                                                                     
J04AC;Hydrazides;Hydraziden                                                                      
J04AK;Autres antituberculeux;Overige tuberculosemiddelen                                                     
J04AM;Associations d'antituberculeux;Combinatiepreparaten van tuberculosemiddelen                                    
J05AB;Nucléosides et nucléotides, excl. inhib. de la transcriptase reverse;Nucleosiden en nucleotiden, excl. inhib. van het reverse transcriptase          
J05AD;Dérivés de l'acide phosphonique;Fosfonzuurderivaten                                                             
J05AE;Inhibiteurs de la protéase;Protease-inhibitoren                                                            
J05AF;Inhibiteurs nucléosidiques de la transcriptase reverse;Inhibitoren van het reverse transcriptase (nucleosiden)                         
J05AG;Inhibiteurs non-nucléosidiques de la transcriptase reverse;Inhibitoren van het reverse transcriptase (niet-nucleosiden)                    
J05AR;Antiviraux pour le traitement d'infections dues au virus hiv, association;Antivirale middelen voor de behandeling van hiv infecties, combinatiepreparaten
J05AX;Autres antiviraux;Overige antivirale middelen                                                     
J06AA;Sérums immunes;Immuunsera                                                                      
J06BA;Immunoglobulines humaines normales;Normaal humaan immunoglobuline                                                  
J06BB;Immunoglobulines spécifiques;Specifieke immunoglobulinen                                                     
J07AG;Vaccin contre l'hémophilus influenzae B;Hemophilus influenzae B-vaccins                                                 
J07AJ;Vaccins de la coqueluche;Pertussis (kinkhoest) vaccins                                                   
J07AM;Vaccin antitétanique;Tetanusvaccins                                                                  
J07BB;Vaccins anti-influenza;Influenzavaccins                                                                
J07BC;Vaccins de l'hépatite;Hepatitisvaccins                                                                
J07BD;Vaccins de la rougeole;Mazelenvaccins                                                                  
J07BG;Vaccins antirabiques;Rabiesvaccins
J07BJ;Vaccins de la rubéole;Rubellavaccins                                                                  
J07BK;Vaccins de la varicelle;Varicellavaccins                                                                
J07CA;Associations de vaccins antibactériens et antiviraux;Bacteriële vaccins met virale vaccins                                           
L01AA;Analogues de la moutarde à l'azote;Stikstofmosterdderivaten                                                        
L01AB;Alkylsulphonates;Alkylsulfonaten                                                                 
L01AC;Ethyleneimines;Ethyleeniminen                                                                  
L01AD;Dérivés de la nitrosurée;Nitroso-ureumderivaten                                                          
L01AX;Autres agents alkylants;Overige alkylerende middelen                                                    
L01BA;Analogues de l'acide folique;Foliumzuuranalogen                                                              
L01BB;Analogues des purines;Purinederivaten                                                                 
L01BC;Analogues des pyrimidines;Pyrimidinederivaten                                                             
L01CA;Alcaloïdes de la pervenche et ses analogues;Vinca-alkaloïden en derivaten                                                   
L01CB;Dérivés de la podophyllotoxine;Podofyllotoxinederivaten                                                        
L01CD;Taxanes;Taxanen                                                                         
L01DA;Actinomycines;Actinomycinen                                                                   
L01DB;Anthracyclines et apparentés;Anthracyclinen en aanverwanten                                                  
L01DC;Autres antibiotiques cytostatiques;Overige cytotoxische antibiotica                                                
L01XA;Dérivés du platine;Platinaverbindingen                                                             
L01XB;Méthylhydrazines;Methylhydrazinen                                                                
L01XC;Anticorps monoclonaux;Monoclonale antilichamen                                                        
L01XD;Préparations pour une thérapie photodynamique;Middelen voor fotodynamische behandeling
L01XE;Inhibiteurs de protéine kinase;Proteine kinase inhibitoren
L01XX;Autres cytostatiques;Overige cytostatica                                                             
L02AA;Oestrogènes;Oestrogenen                                                                     
L02AB;Progestatifs;Progestagenen                                                                   
L02AE;Analogues de la gonadoréline;Gonadoreline-analogen                                                           
L02BA;Anti-oestrogènes;Anti-oestrogenen                                                                
L02BB;Anti-androgènes;Anti-androgenen                                                                 
L02BG;Inhibiteurs d'enzymes;Enzymremmers                                                                    
L03AA;Facteurs de croissance des colonies;Colony-stimulating factors (bloedgroeifactoren)                                 
L03AB;Interférons;Interferonen                                                                    
L03AC;Interleukines;Interleukines                                                                   
L03AX;Autres cytokines et immunomodulateurs;Overige cytokines en immunomodulerende middelen                                 
L04AA;Immunosuppresseurs sélectifs;Selectieve immunosuppressiva                                                    
L04AX;Immunosuppresseurs divers;Overige immunosuppressiva                                                       
M01AA;Dérivés de la pyrazolone;Pyrazolinonderivaten                                                            
M01AB;Dérivés de l'acide acétique et substances apparentées;Azijnzuurderivaten en verwante stoffen                                          
M01AC;Oxicames;Oxicamderivaten                                                                 
M01AE;Dérivés de l'acide propionique;Propionzuurderivaten                                                            
M01AH;Coxibs;Coxibs                                                                          
M01AX;Autres anti-inflammatoires/antirhumastismaux non stéroïdiens;Overige niet-steroïde anti-inflammatoire/anti-rheumatische middelen             
M01CB;Chrysothérapie;Goudpreparaten                                                                  
M01CC;Pénicillamine et apparentés;Penicillamine en aanverwante middelen                                           
M03AB;Dérivés de la choline;Cholinederivaten                                                                
M03AC;Autres ammoniums quaternaires;Overige kwaternaire ammoniumverbindingen                                        
M03AX;Autres myorelaxants à action périphérique;Overige perifeer werkende spierrelaxantia                                       
M03BC;Ethers chimiquement proches des antihistaminiques;Ethers, chemisch verwant aan antihistaminica                                    
M03BX;Autres agents à action centrale;Overige centraal werkende middelen                                              
M03CA;Dantrolene et ses dérivés;Dantroleen en derivaten                                                         
M04AA;Inhibiteurs de la production d'acide urique;Middelen met remmende werking op de urinezuurproduktie                          
M04AB;Stimulants de l'excrétion d'acide urique;Middelen met versnellende werking op de urinezuurexcretie                       
M04AC;Préparations sans effet sur le métabolisme de l'acide urique;Verbindingen zonder werking op het urinezuurmetabolisme                         
M05BA;Biphosphonates;Bisfosfonaten                                                                   
M05BC;Protéines osseuses morphogénétiques;Morfogenetische botproteinen
N01AB;Hydrocarbures halogènes;Gehalogeneerde koolwaterstoffen                                                 
N01AH;Opiacés anesthésiques;Opioïde anesthetica                                                             
N01AX;Autres anesthésiques généraux;Overige algemene anesthetica                                                    
N02AA;Alcaloïdes naturels de l'opium;Natuurlijke opiumalkaloïden                                                     
N02AB;Dérivés de la phénylpipéridine;Fenylpiperidinederivaten                                                        
N02AC;Dérivés de la diphénylpropylamine;Difenylpropylaminederivaten                                                     
N02AD;Dérivés du benzomorphane;Benzomorfanderivaten                                                            
N02AE;Dérivés de l'oripavine;Oripavinederivaten                                                              
N02AX;Autres opiacés;Overige opioïden                                                                
N02BA;Acide salicylique et ses dérivés;Salicylzuur en derivaten                                                        
N02BE;Anilides;Aniliden                                                                        
N02BG;Autres analgésiques et antipyrétiques;Overige analgetica en antipyretica                                              
N02CA;Alcaloïdes de l'ergot;Moederkoren-alkaloïden                                                          
N02CC;Antagonistes des récepteurs 5ht1 sélectifs;Selectieve 5ht1-receptoragonisten                                               
N02CX;Autres antimigraineux;Overige migrainemiddelen                                                        
N03AA;Barbituriques et dérivés;Barbituraten en verwante verbindingen                                           
N03AB;Dérivés de l'hydantoine;Hydantoinederivaten                                                             
N03AD;Dérivés succinimides;Succinimidederivaten                                                            
N03AF;Dérivés carboxamides;Carboxamidederivaten                                                            
N03AG;Dérivés des acides gras;Vetzuurderivaten                                                                
N03AX;Autres antiépileptiques;Overige anti-epileptica                                                         
N04AA;Aminés tertiaires;Tertiaire aminen                                                                
N04AB;Ethers chimiquement proches des antihistaminiques;Ethers, chemisch verwant aan antihistaminica                                    
N04BA;Dopa et ses dérivés;Dopa en -derivaten                                                              
N04BB;Dérivés de l'adamantane;Adamantaanderivaten                                                             
N04BC;Antagonistes de la dopamine;Dopamine-agonisten                                                              
N04BD;Inhibiteurs des monoamine oxydase de type B;Mao-remmers type B                                                              
N04BX;Autres antagonistes de la dopamine;Overige dopaminergica                                                           
N05AA;Phénothiazines substitués avec une chaîne aliphatique;Fenothiazinen met alifatische zijketen                                          
