rdrg;MP;rmdc;description_fr
244;M;06;244 DIVERTICULITE ET DIVERTICULOSE
245;M;06;245 MALADIE INFLAMMATOIRE DE L'INTESTIN
246;M;06;246 INSUFFISANCE VASCULAIRE GASTRO-INTESTINALE
247;M;06;247 OBSTRUCTION INTESTINALE
248;M;06;248 INFECTIONS GASTRO-INTESTINALES ET PERITONEALES MAJEURES
249;M;06;249 GASTRO-ENTERITES NON BACTERIENNES, NAUSEE ET VOMISSEMENT
251;M;06;251 DOULEUR ABDOMINALE
252;M;06;252 DYSFONCTIONNEMENT, REACTION ET COMPLICATIONS DE MATERIEL OU DE PROCEDURE GASTRO-INTESTINAUX
253;M;06;253 HEMORRAGIE GASTRO-INTESTINALE AUTRE ET NON SPECIFIEE
254;M;06;254 AUTRES DIAGNOSTICS DU SYSTEME DIGESTIF
260;P;07;260 PROCEDURES MAJEURES SUR PANCREAS, FOIE ET SHUNT
261;P;07;261 PROCEDURES MAJEURES DES VOIES BILIAIRES
262;P;07;262 CHOLECYSTECTOMIE EXCEPTE PAR VOIE LAPARASCOPIQUE
263;P;07;263 CHOLECYSTECTOMIE LAPAROSCOPIQUE
264;P;07;264 AUTRES PROCEDURES ABDOMINALES, SUR SYSTEME HEPATOBILIAIRE ET PANCREAS
279;M;07;279 COMA HEPATIQUE ET AUTRES TROUBLES HEPATIQUES MAJEURS AIGUS
280;M;07;280 MALADIE HEPATIQUE ALCOOLIQUE
281;M;07;281 AFFECTIONS MALIGNES DU SYSTEME HEPATOBILIAIRE ET DU PANCREAS
282;M;07;282 TROUBLES DU PANCREAS EXCEPTE AFFECTIONS MALIGNES
283;M;07;283 AUTRES TROUBLES DU FOIE
284;M;07;284 TROUBLES DE LA VESICULE BILIAIRE ET DES VOIES BILIAIRES
301;P;08;301 REMPLACEMENT D'ARTICULATION DE HANCHE
302;P;08;302 REMPLACEMENT D'ARTICULATION DE GENOU
303;P;08;303 ARTHRODESE DORSALE ET LOMBAIRE POUR DEVIATION DU DOS
304;P;08;304 ARTHRODESE DORSO-LOMBAIRE EXCEPTE DEVIATION DU DOS
305;P;08;305 AMPUTATION DES MEMBRES INFÉRIEURS EXCEPTÉ LES ORTEILS
308;P;08;308 RÉPARATION D'UNE FRACTURE DE LA HANCHE ET DU FÉMUR
309;P;08;309 AUTRE CHIRURGIE SIGNIFICATIVE DE LA HANCHE ET DU FÉMUR
310;P;08;310 EXCISION ET DECOMPRESSION DE DISQUE INTERVERTEBRAL
312;P;08;312 GREFFE CUTANEE, EXCEPTE LA MAIN, POUR AFFECTIONS MUSCULO-SQUELETTIQUE ET DU TISSU CONJONCTIF
313;P;08;313 PROCEDURES AU NIVEAU DU GENOU ET DE LA JAMBE EXCEPTE PIED
314;P;08;314 PROCEDURES AU NIVEAU DU PIED ET DES ORTEILS
315;P;08;315 PROCÉDURES AU NIVEAU DE L'ÉPAULE, DU BRAS ET DE L'AVANT-BRAS EXCEPTÉ LE REMPLACEMENT D'ARTICULATION
316;P;08;316 PROCEDURES DE LA MAIN ET DU POIGNET
317;P;08;317 PROCEDURES AU NIVEAU DES TENDONS, MUSCLES ET AUTRES TISSUS MOUS
320;P;08;320 AUTRES PROCEDURES DU SYSTEME MUSCULOSQUELETTIQUE ET TISSU CONJONCTIF
321;P;08;321 ARTHRODESE CERVICALE ET AUTRES PROCEDURES SUR LE COU/DOS, EXCEPTE EXCISION/DECOMPRESSION DE DISQUE
322;P;08;322 REMPLACEMENT DE L'ARTICULATION DE L'ÉPAULE ET DU COUDE
340;M;08;340 FRACTURES DU FEMUR
341;M;08;341 FRACTURE DU BASSIN OU LUXATION DE LA HANCHE
342;M;08;342 FRACTURE OU LUXATION EXCEPTE FEMUR, BASSIN ET DOS
343;M;08;343 AFFECTIONS MALIGNES MUSC-SQUELLETIQUE ET FRACTURES PATHOLOGIQUES LIEES AUX AFFECTIONS MALIGNES MUSC-SQUELLETIQUE
344;M;08;344 OSTEOMYELITE, ARTHRITE SEPTIQUE ET AUTRES INFECTIONS MUSCULOSQUELETTIQUES
346;M;08;346 TROUBLES DU TISSU CONJONCTIF
347;M;08;347 AUTRES TROUBLES, FRACTURES ET LESIONS DE DOS ET COU
349;M;08;349 DYSFONCTIONNEMENT, REACTION ET COMPLICATIONS DE MATERIEL OU DE PROCEDURE ORTHOPEDIQUES
351;M;08;351 AUTRES DIAGNOSTICS DU SYSTEME MUSCULO-SQUELETTIQUE ET TISSU CONJONCTIF
361;P;09;361 GREFFE CUTANEE POUR AFFECTIONS DE LA PEAU ET DU TISSU SOUS-CUTANE
362;P;09;362 PROCEDURES DE MASTECTOMIE
363;P;09;363 PROCEDURES MAMMAIRES, EXCEPTE MASTECTOMIE
364;P;09;364 AUTRES INTERVENTIONS SUR LA PEAU, LES TISSUS SOUS-CUTANES ET APPARENTES
380;M;09;380 ULCERES CUTANES
381;M;09;381 AFFECTIONS MAJEURES DE LA PEAU
382;M;09;382 AFFECTIONS MALIGNES DU SEIN
383;M;09;383 CELLULITE ET AUTRES INFECTIONS DE LA PEAU
384;M;09;384 CONTUSION, PLAIE OUVERTE ET AUTRES TRAUMATISMES DE PEAU ET TISSU SOUS-CUTANE
385;M;09;385 AUTRES AFFECTIONS DE LA PEAU, TISSU SOUS-CUTANE ET SEIN
401;P;10;401 PROCEDURES SUR LES SURRENALES ET L'HYPOPHYSE
403;P;10;403 PROCEDURES POUR OBESITE
404;P;10;404 PROCEDURES SUR LA THYROIDE, LES PARATHYROIDES OU LE CANAL THYREOGLOSSE
405;P;10;405 AUTRES PROCEDURES POUR TROUBLES ENDOCRINIENS, NUTRITIONNELS ET METABOLIQUES
420;M;10;420 DIABETE
421;M;10;421 MALNUTRITION, RETARD STATURO-PONDERAL ET AUTRES TROUBLES NUTRITIONNELS
422;M;10;422 HYPOVOLEMIE ET TROUBLES ELECTROLYTIQUES ASSOCIES
423;M;10;423 ANOMALIES CONGENITALES DU METABOLISME
424;M;10;424 AUTRES TROUBLES ENDOCRINIENS
425;M;10;425 AUTRES TROUBLES ELECTROLYTIQUES SAUF ASSOCIES A L'HYPOVOLEMIE
440;P;11;440 TRANSPLANTATION RENALE
441;P;11;441 PROCEDURES MAJEURES SUR LA VESSIE
442;P;11;442 PROCEDURES SUR LES REINS ET LES VOIES URINAIRES POUR AFFECTIONS MALIGNES
443;P;11;443 PROCEDURES SUR LES REINS ET LES VOIES URINAIRES POUR AFFECTIONS NON MALIGNES
444;P;11;444 PROCEDURE UNIQUEMENT POUR MATERIEL DE VOIE D'ACCES DE DIALYSE RENALE
445;P;11;445 AUTRES PROCEDURES DE LA VESSIE
446;P;11;446 PROCEDURES URETHRALES ET TRANSURETHRALES
447;P;11;447 AUTRES PROCEDURES DU REIN, DES VOIES URINAIRES ET APPARENTEES
461;M;11;461 AFFECTIONS MALIGNES DES REINS ET VOIES URINAIRES
462;M;11;462 NEPHRITE ET NEPHROSE
463;M;11;463 INFECTIONS DES REINS ET VOIES URINAIRES
465;M;11;465 LITHIASES URINAIRES ET OBSTRUCTION ACQUISE DU TRACTUS URINAIRE SUPERIEUR
466;M;11;466 DYSFONCTIONNEMENT, REACTION ET COMPLICATIONS DE MATERIEL OU DE PROCEDURE GENITO-URINAIRE
468;M;11;468 AUTRES DIAGNOSTICS, SIGNES ET SYMPTOMES DU REIN ET DES VOIES URINAIRES
469;M;11;469 LÉSION AIGUE DU REIN
470;M;11;470 MALADIE RÉNALE CHRONIQUE
480;P;12;480 PROCEDURES MAJEURES SUR PETIT BASSIN CHEZ L'HOMME
481;P;12;481 PROCEDURES SUR LE PENIS
482;P;12;482 PROSTATECTOMIE TRANSURETRALE
483;P;12;483 PROCEDURES SUR LES TESTICULES ET LE SCROTUM
484;P;12;484 AUTRES INTERVENTIONS SUR LE SYSTEME REPRODUCTEUR MASCULIN ET APPARENTEES
500;M;12;500 AFFECTIONS MALIGNES DU SYSTEME REPRODUCTEUR MASCULIN
501;M;12;501 DIAGNOSTICS DU SYSTEME REPRODUCTEUR MASCULIN SAUF AFFECTIONS MALIGNES
510;P;13;510 EVISCERATION PELVIENNE, HYSTERECTOMIE RADICALE ET AUTRES PROCEDURES GYNECOLOGIQUES RADICALES
511;P;13;511 PROCEDURES SUR UTERUS ET ANNEXES POUR AFFECTIONS MALIGNES DES OVAIRES ET ANNEXES
512;P;13;512 PROCEDURES SUR UTERUS ET ANNEXES POUR AFFECTIONS MALIGNES EXCEPTE OVAIRES ET ANNEXES
513;P;13;513 PROCEDURES SUR UTERUS/ANNEXES POUR AFFECTION NON MALIGNE EXCEPTE LEIOMYOME
514;P;13;514 PROCÉDURES RECONSTRUCTIVES DU SYSTÈME REPRODUCTEUR FÉMININ
517;P;13;517 DILATATION ET CURETAGE POUR DIAGNOSTICS NON-OBSTETRIQUES
518;P;13;518 AUTRES PROCEDURES SUR LE SYSTEME REPRODUCTEUR FEMININ ET APPARENTEES
519;P;13;519 PROCEDURES SUR UTERUS/ANNEXES POUR LEIOMYOME
530;M;13;530 AFFECTIONS MALIGNES DU SYSTEME REPRODUCTEUR FEMININ
531;M;13;531 INFECTIONS DU SYSTEME REPRODUCTEUR FEMININ
532;M;13;532 TROUBLES MENSTRUELS ET AUTRES TROUBLES DU SYSTEME REPRODUCTEUR FEMININ
540;P;14;540 ACCOUCHEMENT PAR CESARIENNE
541;P;14;541 ACCOUCHEMENT VOIE VAGINALE AVEC STERILISATION ET/OU DILATATION ET CURETAGE
542;P;14;542 ACCOUCHEMENT VOIE VAGINALE AVEC PROC. COMPL., EXCEPTE STERILISATION OU DILATATION ET CURETAGE
544;P;14;544 DILATATION ET CURETAGE, CURETAGE PAR ASPIRATION OU HYSTEROTOMIE POUR DIAGNOSTICS OBSTETRICAUX
545;P;14;545 PROCEDURE POUR GROSSESSE ECTOPIQUE
546;P;14;546 AUTRES PROCEDURES O.R. POUR DIAGNOSTICS OBSTETRICAUX EXCEPTE ACCOUCHEMENT
560;M;14;560 ACCOUCHEMENT PAR VOIE VAGINALE
561;M;14;561 DIAGNOSTICS DU POST-PARTUM ET POST-AVORTEMENT, SANS PROCEDURE
563;M;14;563 TRAVAIL PREMATURE
564;M;14;564 AVORTEMENT, SANS DILATATION ET CURETAGE, CURETAGE PAR ASPIRATION OU HYSTEROTOMIE
565;M;14;565 FAUX TRAVAIL
566;M;14;566 AUTRES DIAGNOSTICS EN ANTEPARTUM
580;M;15;580 NOUVEAU-NE, TRANSFERE DANS LES 5 JOURS, NE AILLEURS
581;M;15;581 NOUVEAU-NE, TRANSFERE DANS LES 5 JOURS, NE ICI
583;P;15;583 NOUVEAU-NE, AVEC ECMO
588;P;15;588 NOUVEAU-NÉ, POIDS DE NAISS. < 1500 G, AVEC PROCEDURE MAJEURE
589;M;15;589 NOUVEAU-NE, POIDS DE NAISS. < 500 G OU AGE GESTATIONNEL < 24 SEMAINES
591;M;15;591 NOUVEAU-NE, POIDS DE NAISS. 500-749 GR SANS PROCEDURE MAJEURE
593;M;15;593 NOUVEAU-NE, POIDS DE NAISS. 750 - 999 GR SANS PROCEDURE MAJEURE
602;M;15;602 NOUVEAU-NE, POIDS DE NAISS. 1000-1249 GR AVEC SYNDROME DE DETRESSE RESPIRATOIRE/AUTRE ANOMALIE RESPIRATOIRE MAJEURE OU AUTRE ANOMALIE MAJEURE
603;M;15;603 NOUVEAU-NE, POIDS DE NAISS. 1000-1249 GR AVEC OU SANS AUTRE AFFECTION SIGNIFICATIVE
607;M;15;607 NOUVEAU-NÉ, POIDS DE NAISS. 1250-1499 GR AVEC SYNDROME DE DETRESSE RESPIRATOIRE/AUTRE ANOMALIE RESPIRATOIRE MAJEURE OU AUTRE ANOMALIE
608;M;15;608 NOUVEAU-NE, POIDS DE NAISS. 1250-1499 GR AVEC/SANS AUTRE AFFECTION SIGNIFICATIVE
609;P;15;609 NOUVEAU-NE, POIDS DE NAISS. 1500-2499 GR AVEC PROCEDURE MAJEURE
611;M;15;611 NOUVEAU-NE, POIDS DE NAISS. 1500-1999 GR AVEC ANOMALIE MAJEURE
612;M;15;612 NOUVEAU-NE, POIDS DE NAISS. 1500-1999 GR AVEC SYNDROME DE DETRESSE RESPIRATOIRE/AUTRE AFFECTION RESPIRATOIRE MAJEURE
613;M;15;613 NOUVEAU-NE, POIDS DE NAISS. 1500-1999 GR AVEC INFECTIONS CONGENITALE OU PERINATALE
614;M;15;614 AUTRE NOUVEAU-NE, POIDS DE NAISS. 1500-1999 GR AVEC OU SANS AUTRE AFFECTION SIGNIFICATIVE
621;M;15;621 NOUVEAU-NE, POIDS DE NAISS. 2000-2499 GR AVEC ANOMALIE MAJEURE
622;M;15;622 NOUVEAU-NE, POIDS DE NAISS. 2000-2499 GR AVEC SYNDROME DE DETRESSE RESPIRATOIRE/AUTRE AFFECTION RESPIRATOIRE MAJEURE
623;M;15;623 NOUVEAU-NE, POIDS DE NAISS. 2000-2499 GR AVEC INFECTIONS CONGENITALES OU PERINATALES
625;M;15;625 NOUVEAU-NE, POIDS DE NAISS. 2000-2499 GR, NE ICI, AVEC AUTRE AFFECTION SIGNIFICATIVE
626;M;15;626 NOUVEAU-NE, POIDS DE NAISS. 2000-2499 GR, NORMAL OU NOUVEAU-NE AVEC AUTRE PROBLEME
630;P;15;630 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR AVEC PROCEDURE CARDIOVASCULAIRE MAJEURE
631;P;15;631 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR AVEC AUTRE PROCEDURE MAJEURE
633;M;15;633 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR AVEC ANOMALIE MAJEURE
634;M;15;634 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR AVEC SYNDROME DE DETRESSE RESPIRATOIRE/AUTRE AFFECTION RESPIRATOIRE MAJEURE
636;M;15;636 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR AVEC INFECTIONS CONGENITALE OU PERINATALE
639;M;15;639 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR AVEC AUTRE AFFECTION SIGNIFICATIVE
640;M;15;640 NOUVEAU-NE, POIDS DE NAISS. > 2499 GR NORMAL ET AVEC AUTRES PROBLEMES
650;P;16;650 SPLENECTOMIE
651;P;16;651 AUTRES PROCEDURES SUR SANG ET ORGANES HEMATOPOIETIQUES
660;M;16;660 DIAGNOSTICS HEMATOLOGIQUES/IMMUNOLOGIQUES MAJEURS EXCEPTE CRISE DREPANOCYTAIRE ET COAGULATION
661;M;16;661 TROUBLES DE LA COAGULATION ET DES PLAQUETTES
662;M;16;662 CRISE D'ANEMIE A CELLULES FALCIFORMES
663;M;16;663 AUTRES ANEMIES ET TROUBLES SANGUINS ET TROUBLES DES ORGANES HEMATOPOIETIQUES
680;P;17;680 PROCEDURES OPERATOIRES MAJEURES POUR NEOPLASIE LYMPHATIQUE/HEMATOPOIETIQUE/AUTRE
681;P;17;681 AUTRES PROCEDURES OPERATOIRES POUR NEOPLASIE LYMPHATIQUE/HEMATOPOIETIQUE/AUTRE
690;M;17;690 LEUCEMIE AIGUE
691;M;17;691 LYMPHOME, MYELOME ET LEUCEMIE NON AIGUE
692;M;17;692 RADIOTHERAPIE
694;M;17;694 AFFECTIONS MALIGNES LYMPHATIQUES ET AUTRES ET NEOPLASMES DE COMPORTEMENT INCERTAIN
695;M;17;695 CHIMIOTHÉRAPIE POUR LEUCÉMIE AIGUE
696;M;17;696 AUTRE CHIMIOTHÉRAPIE
710;P;18;710 INFECTIONS ET MALADIES PARASITAIRES INCLUANT LE HIV AVEC PROCEDURE OPERATOIRE
711;P;18;711 INFECTIONS POST-OPERATOIRES, POST-TRAUMATIQUES OU D'AUTRE MATERIEL AVEC PROCEDURE OPERATOIRE
720;M;18;720 SEPTICEMIE ET INFECTIONS DISSEMINEES
721;M;18;721 INFECTIONS POST-OPERATOIRES, POST-TRAUMATIQUES OU D'AUTRE MATERIEL
722;M;18;722 FIEVRE
723;M;18;723 MALADIE VIRALE
724;M;18;724 AUTRES MALADIES INFECTIEUSES ET PARASITAIRES
740;P;19;740 DIAGNOSTIC DE MALADIE MENTALE AVEC PROCEDURE OPERATOIRE
750;M;19;750 SCHIZOPHRENIE
751;M;19;751 TROUBLES DEPRESSIFS MAJEURS ET PSYCHOSES AUTRES/NON SPECIFIEES
752;M;19;752 TROUBLES DE PERSONNALITE ET DU CONTROLE DES IMPULSIONS
753;M;19;753 TROUBLES BIPOLAIRES
754;M;19;754 DEPRESSION, EXCEPTE TROUBLE DEPRESSIF MAJEUR
755;M;19;755 TROUBLES DE L'AJUSTEMENT ET NEVROSES, EXCEPTE DIAGNOSTICS DEPRESSIFS
756;M;19;756 ETATS D'ANXIETE ET DE DELIRE AIGUS
757;M;19;757 TROUBLES ORGANIQUES DE LA SANTE MENTALE
758;M;19;758 TROUBLES COMPORTEMENTAUX
759;M;19;759 TROUBLES DE LA NUTRITION
760;M;19;760 AUTRES TROUBLES DE LA SANTE MENTALE
770;M;20;770 ABUS OU DEPENDANCE A ALCOOL ET DROGUES, SORTIE CONTRE L'AVIS MEDICAL
772;M;20;772 DEPENDANCE A L'ALCOOL ET DROGUES AVEC REVALIDATION OU REVALIDATION/DESINTOXICATION
773;M;20;773 ABUS ET DEPENDANCE AUX OPIACES
774;M;20;774 ABUS ET DEPENDANCE A LA COCAINE
775;M;20;775 ABUS ET DEPENDANCE A L'ALCOOL
776;M;20;776 ABUS ET DEPENDANCE A D'AUTRES DROGUES
791;P;21;791 PROCEDURES OPERATOIRES POUR AUTRES COMPLICATIONS DE TRAITEMENT
811;M;21;811 REACTIONS ALLERGIQUES
812;M;21;812 EMPOISONNEMENT PAR AGENTS MEDICAMENTEUX
